 ,Area,Mean,Min,Max,Major,Minor,Angle,Circ.,AR,Round,Solidity
1267,315,5384.552,3387,7519,20.883,19.206,21.199,0.927,1.087,0.920,0.955
1268,353,4465.550,3384,5706,23.233,19.345,23.676,0.859,1.201,0.833,0.933
1269,326,5095.617,3383,6800,20.968,19.796,25.492,0.890,1.059,0.944,0.934
1270,359,5057.554,3403,7133,21.608,21.154,76.355,0.910,1.021,0.979,0.936
1271,450,6031.807,3387,8097,24.392,23.490,53.999,0.914,1.038,0.963,0.949
1272,499,7218.926,3397,11400,26.309,24.149,142.362,0.931,1.089,0.918,0.954
1273,394,5987.231,3400,8657,24.728,20.287,133.800,0.908,1.219,0.820,0.940
1274,374,4699.503,3388,5897,27.093,17.576,154.121,0.830,1.541,0.649,0.930
1275,202,10377.693,3396,22517,20.040,12.834,134.842,0.892,1.561,0.640,0.927
1276,213,9697.061,3411,19975,19.975,13.577,111.048,0.881,1.471,0.680,0.932
1277,365,4750.008,3395,6961,25.222,18.425,174.542,0.810,1.369,0.731,0.926
1278,484,7543.469,3389,10929,26.865,22.939,96.721,0.908,1.171,0.854,0.946
1279,415,8868.742,3384,17616,24.485,21.581,168.406,0.813,1.135,0.881,0.904
1280,386,5952.391,3390,8245,25.384,19.362,38.425,0.925,1.311,0.763,0.951
1281,319,5134.116,3388,6924,22.347,18.175,65.713,0.915,1.230,0.813,0.937
1282,349,5524.364,3383,7706,22.846,19.451,105.534,0.912,1.175,0.851,0.942
1283,419,5073.372,3434,6209,26.134,20.413,102.716,0.915,1.280,0.781,0.947
1284,410,4111.451,3382,4998,24.407,21.389,130.828,0.902,1.141,0.876,0.938
1285,372,4463.978,3392,5815,24.620,19.238,142.489,0.885,1.280,0.781,0.935
1286,393,4474.613,3421,5689,23.681,21.130,112.355,0.892,1.121,0.892,0.935
1287,312,5368.577,3403,7375,21.641,18.357,67.788,0.904,1.179,0.848,0.931
1288,321,5238.277,3386,6940,22.064,18.524,78.345,0.911,1.191,0.840,0.943
1289,424,5573.804,3389,8051,24.993,21.600,92.142,0.926,1.157,0.864,0.947
1290,251,7077.538,3405,10386,18.955,16.860,159.718,0.940,1.124,0.889,0.940
1291,353,5466.688,3400,7541,23.555,19.081,104.133,0.894,1.234,0.810,0.944
1292,352,5022.395,3408,6411,22.707,19.738,109.319,0.898,1.150,0.869,0.936
1293,325,5189.225,3401,6929,21.473,19.270,64.917,0.916,1.114,0.897,0.939
1294,377,4279.326,3382,5605,24.413,19.662,70.676,0.772,1.242,0.805,0.917
1295,267,6579.187,3389,9380,19.878,17.102,72.397,0.926,1.162,0.860,0.934
1296,395,4838.367,3414,6292,24.842,20.245,81.886,0.916,1.227,0.815,0.950
1297,414,5238.507,3396,6996,24.991,21.092,107.362,0.872,1.185,0.844,0.937
1298,390,4669.059,3383,6321,22.572,21.999,1.795,0.893,1.026,0.975,0.934
1299,414,4848.145,3389,6521,23.850,22.101,40.111,0.899,1.079,0.927,0.937
1300,279,6232.423,3384,9994,19.628,18.098,68.080,0.957,1.085,0.922,0.952
1301,298,5825.728,3384,8568,20.205,18.779,1.944,0.864,1.076,0.929,0.936
1302,394,4287.538,3382,5957,26.867,18.672,36.026,0.752,1.439,0.695,0.901
1303,379,4507.351,3392,5679,23.666,20.390,51.767,0.849,1.161,0.862,0.931
1304,277,6498.094,3397,9772,20.753,16.994,131.324,0.943,1.221,0.819,0.944
1305,347,4890.513,3392,6323,21.907,20.168,1.434,0.938,1.086,0.921,0.947
1306,355,4789.073,3385,6399,23.416,19.303,114.452,0.893,1.213,0.824,0.938
1307,349,4767.908,3391,5998,22.642,19.626,47.516,0.893,1.154,0.867,0.922
1308,404,5820.431,3387,8167,25.911,19.852,52.592,0.891,1.305,0.766,0.942
1309,405,4753.854,3384,6113,24.915,20.696,13.702,0.853,1.204,0.831,0.933
1310,399,4991.441,3386,7095,25.454,19.959,137.559,0.905,1.275,0.784,0.942
1311,395,4201.428,3387,5569,26.232,19.172,76.172,0.863,1.368,0.731,0.940
1312,406,5307.995,3425,6846,25.381,20.367,99.168,0.901,1.246,0.802,0.937
1313,334,5117.796,3383,6759,21.613,19.676,14.188,0.925,1.098,0.910,0.944
1314,395,5383.861,3382,7314,24.427,20.589,88.591,0.910,1.186,0.843,0.938
1315,394,6807.896,3433,9364,23.597,21.259,12.863,0.920,1.110,0.901,0.947
1316,358,5288.302,3394,7113,22.688,20.090,131.144,0.907,1.129,0.885,0.936
1317,376,4313.832,3394,5814,25.060,19.104,45.746,0.867,1.312,0.762,0.927
1318,384,4531.859,3392,5509,23.760,20.577,171.318,0.841,1.155,0.866,0.929
1319,390,4454.877,3384,5705,23.759,20.900,42.573,0.879,1.137,0.880,0.936
1320,414,4999.785,3384,6726,25.984,20.287,145.043,0.925,1.281,0.781,0.953
1321,371,4759.019,3383,6262,24.273,19.460,44.687,0.883,1.247,0.802,0.932
1322,482,7223.898,3382,10503,27.508,22.310,91.233,0.904,1.233,0.811,0.949
1323,490,7653.008,3399,11252,27.826,22.421,135.981,0.922,1.241,0.806,0.950
1324,331,5271.012,3383,6960,21.408,19.686,46.666,0.926,1.087,0.920,0.942
1325,345,5076.672,3395,7000,22.420,19.593,93.438,0.939,1.144,0.874,0.956
1326,374,11867.775,3385,26830,27.254,17.472,112.844,0.843,1.560,0.641,0.934
1327,361,5247.313,3382,7339,23.788,19.323,119.311,0.827,1.231,0.812,0.926
1328,359,4384.226,3384,5955,22.949,19.917,169.234,0.709,1.152,0.868,0.897
1329,398,9405.621,3390,16909,29.386,17.244,22.410,0.825,1.704,0.587,0.936
1330,332,5629.861,3426,7941,23.997,17.615,170.017,0.904,1.362,0.734,0.945
1331,484,7285.401,3394,11875,25.307,24.351,86.079,0.903,1.039,0.962,0.943
1332,342,5121.696,3384,6633,22.720,19.166,169.730,0.887,1.185,0.844,0.938
1333,351,4989.379,3388,6545,22.305,20.036,155.997,0.904,1.113,0.898,0.929
1334,354,5304.960,3407,6613,22.952,19.638,1.659,0.918,1.169,0.856,0.944
1335,461,5624.549,3429,8370,26.230,22.377,2.349,0.928,1.172,0.853,0.952
1336,492,5651.496,3411,7880,27.862,22.483,104.278,0.910,1.239,0.807,0.948
1337,311,4230.752,3386,6742,22.864,17.319,171.745,0.562,1.320,0.757,0.854
1338,329,5883.085,3386,8095,21.160,19.796,115.732,0.921,1.069,0.936,0.937
1339,355,4223.651,3385,5211,26.475,17.073,30.172,0.771,1.551,0.645,0.903
1340,346,4958.425,3389,7001,23.452,18.785,123.739,0.929,1.248,0.801,0.947
1341,428,7125.972,3382,10153,25.089,21.720,28.997,0.921,1.155,0.866,0.949
1342,351,5310.741,3387,7574,22.635,19.744,112.322,0.920,1.146,0.872,0.937
1343,341,5552.812,3398,7374,22.122,19.626,162.578,0.922,1.127,0.887,0.942
1344,373,4258.984,3389,5448,26.997,17.592,51.071,0.776,1.535,0.652,0.901
1345,468,6176.470,3454,8528,26.260,22.692,146.355,0.931,1.157,0.864,0.949
1346,341,5221.871,3396,7343,26.320,16.496,126.830,0.811,1.596,0.627,0.933
1347,399,6134.404,3388,8135,26.315,19.305,171.509,0.872,1.363,0.734,0.937
1348,364,4609.964,3387,6465,27.348,16.947,38.430,0.839,1.614,0.620,0.925
1349,447,5509.823,3386,8185,24.674,23.066,179.094,0.894,1.070,0.935,0.935
1350,480,4736.685,3400,6306,26.707,22.884,40.714,0.877,1.167,0.857,0.930
1351,360,5172.800,3408,7049,24.395,18.789,59.925,0.882,1.298,0.770,0.946
1352,459,6477.725,3432,8924,24.545,23.810,172.712,0.905,1.031,0.970,0.939
1353,368,5193.997,3391,6433,24.499,19.125,77.049,0.902,1.281,0.781,0.947
1354,404,4591.869,3382,5985,24.044,21.393,64.713,0.840,1.124,0.890,0.926
1355,427,6619.956,3386,9579,24.469,22.219,101.598,0.927,1.101,0.908,0.941
1356,382,4436.529,3397,5424,26.590,18.291,144.180,0.824,1.454,0.688,0.924
1357,341,5718.135,3385,7989,22.375,19.404,64.256,0.938,1.153,0.867,0.947
1358,488,5574.596,3403,7333,28.005,22.187,16.583,0.872,1.262,0.792,0.938
1359,352,5074.628,3386,6552,22.366,20.039,129.220,0.929,1.116,0.896,0.941
1360,330,5998.470,3392,9099,21.463,19.576,133.500,0.901,1.096,0.912,0.932
1361,379,4454.493,3385,5796,23.641,20.412,177.197,0.873,1.158,0.863,0.927
1362,421,4349.245,3387,5526,25.147,21.316,20.197,0.868,1.180,0.848,0.924
1363,396,5075.641,3403,6687,23.503,21.453,168.380,0.927,1.096,0.913,0.943
1364,370,5344.654,3388,7206,23.867,19.739,152.843,0.901,1.209,0.827,0.932
1365,500,4634.694,3426,6385,26.139,24.355,112.439,0.889,1.073,0.932,0.943
1366,429,6044.660,3419,8234,25.508,21.414,158.611,0.929,1.191,0.840,0.958
